text,file_name,contextual_chunk
"The PCA's opened on March 17, 1945, as the ""Arts and Craft Center"" at Fifth and Shady Avenues. Almost 1000 Pittsburghers gathered at the opening night ceremonies, headed by Mayor Cornelius D. Scully, J. Bailey Ellis, who was named chairman of the Center, and Mrs. Charles D. Marshall, who publicly turned the key to her home over to the city.
Ten artist groups comprised the center at its founding: 

Pittsburgh Drama League (founded 1913)
Pennsylvania Guild of Craftsmen (founded 1944)
Weavers Guild of Pittsburgh (founded 1940)
Society of Sculptors (founded 1934)
Pittsburgh Civic Ballet (founded 1941)
Abstract Artists Group of Pittsburgh
Musician's Club of Pittsburgh (founded 1913)
Associated Artists of Pittsburgh (founded 1910)
Contemporary Dance Group
Authors’ Club (founded 1918).
The first program after the grand opening was a musicale given by the Musician's Club on March 25, 1945. Each of the ten groups was responsible for holding five programs open to the public each year. The first Christmas Bazaar was held in November 1946, and continues today as the Holiday Sale.
The organization was chartered in July 1947. The first annual meeting to which all members of the various artist groups were invited was held on January 12, 1948. The newly revised by-laws were read and accepted. The elected board and officers were unpaid.
The center's dedication to improving the overall quality of life in Pittsburgh through education has been an essential part of its philosophy from the beginning. The first mention of classes appeared in the minutes of the June 1947 board meeting. University of Pittsburgh professor Walter Hovey, then president of the Pennsylvania Guild of Craftsmen, asked for the use of the kitchen in order to hold a jewelry class for some 40 students.
In addition to education, the center has always sought to promote regional art. In 1948, the first Everyman's Art Show was held, open to the region's amateurs. The first Artist of the Year show was held in January 1949, honoring painter Balcombe Greene. In the April 1954, the Center went on the air on WQED-TV with the weekly, half-hour series You, the Artists hosted by sculptor Everett Sturgeon. From 1981 to 1989, the center renewed its relationship with WQED with the weekly Lyceum (later Studio 13,) hosted by Mary Rawson. Ongoing attempts were made in print as well, starting from the earliest days with a mimeographed newsletter, Musings, from 1975-79 with Quidnunc, and later in expanded course catalogs and the quarterly Art Lines.",Pittsburgh Center for the Arts,"The Arts and Craft Center, founded in 1945, was a hub for Pittsburgh artists, hosting educational programs, exhibitions, and cultural events, promoting regional art, and expanding its reach through media and television."
"Eventually, volunteers could not keep abreast of an increasingly complex artistic and organizational environment. By the late 1960s, the center's administration resembled “an octopus without a head,” according to the Pittsburgh Press's Patricia Lowry. Artist Danny Butts was engaged as the center's first full-time director. He was succeeded by businessman Jerrold Rouby in 1970. Additional paid positions were added then: an education director and sales director. The Center's classes and enrollment expanded during Rouby's tenure.
In 1975, Audrey Bethel became the center's director. Under her leadership, the groundwork was laid for many changes. Nationally known artists visited the center, the board of directors was restructured, and the center's name was changed. Cheryl Towers became director in 1981, and later hired ceramicist Sande Deitch as full-time exhibitions director. Deitch became director of the Center in 1987; Murray Horne became exhibitions director.",Pittsburgh Center for the Arts,The document describes the evolution of the Carnegie Institute of Music Hall from its early days as an octopus-like organization to a more structured and nationally recognized institution under the leadership of various directors.
"For the center, the late 1990s were marked with ambitious programs, but also financial difficulty. In February 2002, five staff—including Executive Director Laura Willumsen and Curator Vicky Clark—were laid off and the exhibitions department eliminated. In August 2004, 13 staff members were laid off. The center was approximately $1 million in debt, and its doors were closed.
The center has offered special prizes of Artist of the Year and Emerging Artist of the Year, along with its Biennial exhibitions of local contemporary artists. Previous winners of prizes include Delanie Jenkins, Clayton Merrill, and George Anastasios Magalios.
In September 2004, Charlie Humphrey became the unpaid interim director of PCA. The center reopened, after having been closed only for a few weeks. In relatively short order, missed payments to artists were rectified and relationships with foundations were repaired.
In January 2006, following votes by the Pittsburgh Filmmakers membership, Pittsburgh Center for the Arts board and Pittsburgh Filmmakers board, the merger of the two organizations became final. The Pittsburgh Filmmakers by-laws were carried over as the by-laws of the merged organization.
In Fall 2010, the combined Pittsburgh Filmmakers/Pittsburgh Center for the Arts entered into merger discussions with the Pittsburgh Glass Center.  By May 2011, the talks had failed, with the Pittsburgh Glass Center withdrawing from negotiations.",Pittsburgh Center for the Arts,"The Pittsburgh Center for the Arts (PCA) experienced financial difficulties in the late 1990s, leading to staff layoffs and the closure of the center. However, it was eventually revived with the merger of PCA and Pittsburgh Filmmakers in 2006."
"Throughout the years many renovations were made at both the Marshall building, which houses the galleries, and the Scaife building, which houses the school. The last major renovation was to the Marshall building, which reopened March 24, 1990 with a dedication by Mayor Sophie Masloff to 800 guests, including Jane Marshall Fisher, granddaughter of the building's original donor.
The center has a campus arrangement of four buildings, three of which (two mansions and a carriage house) are rented from the city for $1.00 per year. The fourth structure houses newly built kilns.",Pittsburgh Center for the Arts,"The document discusses the renovations and current state of the Marshall building and Scaife building, including their use as a gallery and school, and the rental arrangement of the buildings."
"For the industrialists in the early 1900s, a major living area was Pittsburgh's East End, where a building boom was underway. A parade of mansions were commissioned along Fifth Avenue to what became known as “Millionaires Row” for some of the wealthiest and most celebrated families in Pittsburgh, such as the Mellons, the Benedums, and the Fricks.
In 1909, one of the most impressive mansions built was the 65-room Richard Beatty Mellon House on the 11 acres (4.5 ha) of land bordering Fifth Avenue, Shady Avenue and Beechwood Boulevard on what is now known as Mellon Park. Richard Beatty Mellon and his wife Jennie King Mellon raised two children, Sarah Cordelia King Mellon and Richard King Mellon. Jennie King Mellon had a love for flowers and had two very large flower gardens facing Beechwood Boulevard, which still exists in Mellon Park today. Next to the mansion was a garage and carriage house, which housed servants on the second floor. This carriage house was donated to the City and is now the Phipps Garden Center. The 65-room mansion was torn down in 1941.
In 1904, there was another earlier Tudor revival mansion built on the Mellon Estate. It was given as a wedding gift in 1927 to Richard Beatty's daughter Sarah, who married Alan Magee Scaife, fifth generation industrialist and the Director of Mellon National Bank. In February 1946, the Scaifes also donated their home and property to the City. This mansion is now the Scaife Building that houses the Pittsburgh Center for the Arts School.
Next door to the Mellon Estate, on the corner of Fifth and Shady Avenues, Charles D. Marshall, president and co-owner of the McClintic-Marshall Construction Company, which later became Bethlehem Steel, built his mansion. Completed in 1912, the Marshall mansion was an impressive formal 17th-Century Carolean-inspired building. In 1943, Charles Marshall also donated his house at 6300 Fifth Avenue to the city. The city was responsible for only the exterior maintenance. The Marshall mansion became the Arts and Crafts Center of Pittsburgh in 1945. In 1980, the name was again changed to what is now known as the Pittsburgh Center for the Arts.",Pittsburgh Center for the Arts,"The document describes the construction and donation of several mansions in Pittsburgh's East End during the early 1900s, including the Richard Beatty Mellon House, the Scaife Building, and the Marshall Mansion."
"The August Wilson Center was part of a plan drawn up by Pittsburgh NAACP President Tim Stevens in 1996 in order to try to bring the National NAACP Convention to Pittsburgh. In the plan, there was a statement that urged the Mayor of Pittsburgh to provide financial backing for an African American Museum. Later in 1996, then-Mayor Tom Murphy charged two City Council Members, Sala Udin and Valerie McDonald with bringing stakeholders together to discuss the museum's future. Funding from various sources, including the URA, State of Pennsylvania, and The Heinz Endowments came together to begin construction of the center. The land on which the center sits was taken by eminent domain and sold to the museum for $1. The center celebrated its ""topping off"" ceremony on August 12, 2008, at 12:30 pm. Construction was completed shortly thereafter and the museum was open to the full public on September 17 and 19, 2009.
The August Wilson Center was designed under the direction of Allison G. Williams, FAIA and members of her team from her San Francisco office of Perkins and Will. During the design of this project, AI merged with MBT Architecture and then was subsequently bought by Perkins+Will. The project design was completed in the San Francisco office of Perkins+Will. Team members included Greg Lehman, Sally Curtis, Stacie Velten.
In February 2019, the August Wilson Center for African American Culture (the center's original name) changed its name to the August Wilson Cultural Center, and the following month, to the August Wilson African American Cultural Center (the latter change, following an online petition objecting to the deletion of ""African American"" from its name).",August Wilson Center for African American Culture,"The August Wilson Center for African American Culture was built in Pittsburgh, Pennsylvania, with funding from various sources, including the URA, State of Pennsylvania, and The Heinz Endowments, and was designed by Allison G. Williams and her team from Perkins and Will."
"The center struggled to pay off its construction debt from 2012, on January 20, 2014, a federal bankruptcy official reported that the center's debt situation might be irreversible. Subsequently, a federal court ruled on January 27, 2014, that the center's liquidation could begin to pay off debts.
In February 2014 concerned stakeholders started a website to raise funds for the center. After numerous court cases, the center was sold at a sheriff's sale on November 3, 2014, to the mortgage holder, Dollar Bank  for $1,912.50.
On November 5, 2014 Dollar Bank sold the center to a nonprofit consortium for $7.9 million. The consortium included contributions from private foundations: $2.45 million from the Heinz Endowments, $2.35 million from the Richard King Mellon Foundation, $500,000 from the Pittsburgh Foundation and $500,000 from the Thomas Tull Family Foundation. Public sources contributed another $3.15 million: $1.65 million from the Urban Redevelopment Authority and $1.5 million from the Allegheny Regional Asset District.
The court-appointed conservator had originally agreed to sell the building for $9.5 million to a private developer, 980 Liberty Partners, who had planned to build a hotel on top of the center. Pittsburgh Major Bill Peduto, Allegheny County Executive Rich Fitzgerald and the URA fought the bid. 980 Liberty Partners withdrew in a September 2014 settlement that favored the consortium of local foundations. 980 Liberty partners was reimbursed $360,000 from URA's share of the purchase price.
By 2019, the center was on a solid financial foundation, having ended 2018 with a budget surplus and was building a capital reserve. By 2020, the center was showing additional signs of recovery, having increased its operating budget to $7.25 million from $1.77 million in 2015 and increased the percentage of the budget coming from earned income to 17% from 5%. The center had greatly increased its individual donor base and held substantially more events.",August Wilson Center for African American Culture,"The center was sold to a nonprofit consortium in November 2014, raising $7.9 million from various foundations, including the Heinz Endowments, Richard King Mellon Foundation, Pittsburgh Foundation, and Thomas Tull Family Foundation."
"Bloomfield is a plateau above the Allegheny River; it is bordered by Penn Avenue on the north, the East Busway on the south, 40th Street on the west, and Gross Street on the east. This last boundary is somewhat disputed – many residents believe that Bloomfield abuts the neighborhood of Friendship at Gross Street. Here the provincial frame rowhouses give way to stand-alone brick Victorian homes, which were built larger on each street heading east. The City of Pittsburgh, however, claims that Bloomfield extends east as far as Graham Street.
The East Busway is set into Skunk Hollow, a ravine that separates Bloomfield from Polish Hill to the west, North Oakland to the southwest, and Shadyside to the south. The neighborhoods are within sight of one another and are connected by the Bloomfield Bridge and the South Millvale Bridge, both of which span this gap.",Bloomfield (Pittsburgh),"Bloomfield is a neighborhood in Pittsburgh, Pennsylvania, bordered by various streets and highways, with its eastern boundary disputed."
"The Bloomfield neighborhood has 4 distinct flights of city steps - all of which are open and in a safe condition. In Bloomfield, the Steps of Pittsburgh quickly connect pedestrians from the main residential area to the lower-elevation streets of Lorigan, Juniper, and Neville. These shady streets offer a mix of residential and industrial buildings and are popular with dog walkers, runners, and cyclists.",Bloomfield (Pittsburgh),"The document describes the four distinct city steps in Bloomfield, connecting pedestrians to lower-elevation streets with residential and industrial buildings."
"Bloomfield does not appear to have been an independent borough prior to its annexation by the City of Pittsburgh in 1868.  Casper Taub sold the land to his son-in-law John Conrad Winebiddle, whose descendants divided it into lots and sold it for development beginning around the time of the 1868 annexation. The community most likely was named for the abundant blooming flowers near the original town site.
In the decades following 1868, Bloomfield was settled by German Catholic immigrants, who in 1886 built St. Joseph's Church. Beginning around 1900, Italians from five towns in the Abruzzi region settled here, forming Immaculate Conception Parish in 1905 (that church was rebuilt in its present form in 1961). Descendants from both groups, with ethnic Italians outnumbering the Germans, still give the neighborhood its character today. In 2001 the national churches of St. Joseph's and Immaculate Conception were merged to form a single parish.
Since the early 21st century, Bloomfield is one of the neighborhoods that has attracted young adults, including those described as creative and ""hip."" Pittsburgh's affordability and ethnic history, compared to some other cities, have resulted in new residents settling here.",Bloomfield (Pittsburgh),"Bloomfield, annexed by Pittsburgh in 1868, was settled by German Catholic and Italian immigrants, leading to the formation of St. Joseph's and Immaculate Conception parishes."
