text,contextual_chunk
"{'event_name': 'Union', 'date': 'Oct 23, 2024', 'description': 'Arts + Culture, Entertainment, Film & Movies Union  Up against one of the most powerful companies on the planet, a group of Amazon workers embark on an unprecedented campaign to unionize their warehouse in Staten Island, New York. READ MORE', 'time': '8:00 pm - 10:00 pm'}","A group of Amazon workers in Staten Island, New York, plan to unionize their warehouse."
"{'event_name': 'Music of Led Zeppelin', 'date': 'Oct 24, 2024', 'description': 'Arts + Culture, Entertainment, Music Music of Led Zeppelin  Bridging the gulf between rock n’ roll and classical music, the Pittsburgh Symphony Orchestra performs The Music of Led Zeppelin. READ MORE', 'time': '7:30 pm - 10:30 pm'}","Pittsburgh Symphony Orchestra performs ""The Music of Led Zeppelin"" at the Pittsburgh Symphony Hall."
"{'event_name': 'Nadcap', 'description': 'Convention Nadcap  Nadcap is the premier program for accrediting critical processes in the aerospace and defense industries, Nadcap focuses on standardizing approaches to quality assurance and promoting continuous improvement.  This program is essential for suppliers seeking to demonstrate their commitment to excellence. READ MORE', 'date': 'Oct 21, 2024 - Oct 24, 2024'}","Nadcap is a program for accrediting critical processes in aerospace and defense industries, focusing on quality assurance and continuous improvement."
"{'date': 'Oct 21, 2024 - Oct 24, 2024', 'description': 'Nadcap is the premier program for accrediting critical processes in the aerospace and defense industries, Nadcap focuses on standardizing approaches to quality assurance and promoting continuous improvement. This program is essential for suppliers seeking to demonstrate their commitment to excellence.', 'category': 'Convention', 'venue': 'Omni William Penn Hotel 530 William Penn Pl Pittsburgh, PA 15219', 'more_details': 'Nadcap is the premier program for accrediting critical processes in the aerospace and defense industries, Nadcap focuses on standardizing approaches to quality assurance and promoting continuous improvement.Â This program is essential for suppliers seeking to demonstrate their commitment to excellence. The Napcap staff & attendees of the conference will be on their own for all meals (breakfast, lunch, and dinner) during their visit to Pittsburgh.', 'event_name': 'Nadcap'}","Nadcap is a program for accrediting critical processes in aerospace and defense industries, focusing on quality assurance and continuous improvement."
"{'event_name': 'Pour Me Another - St. George Spirits Dinner', 'date': 'Oct 24, 2024', 'description': 'Community Pour Me Another - St. George Spirits Dinner  Get ready to raise your glass and enjoy a night of great food and drinks at Pour Me Another - October 2024! READ MORE', 'time': '6:30 pm - 8:30 pm'}","St. George Spirits Dinner at Pour Me Another on October 24, 2024, from 6:30 pm to 8:30 pm."
"{'event_name': 'Ofrenda Happy Hour', 'date': 'Oct 24, 2024', 'description': 'Arts + Culture, Community, Family Ofrenda Happy Hour  Kick off the\xa0Día de los Muertos festivities with Pittsburgh Metropolitan Area Hispanic Chamber of Commerce at the Ofrenda Happy Hour! READ MORE', 'time': '6:00 pm - 9:00 pm'}",Día de los Muertos celebration kick-off event at the Ofrenda Happy Hour.
"{'event_name': 'Pitt Panthers vs. Syracuse Orange', 'date': 'Oct 24, 2024', 'description': 'Entertainment, Sports + Recreation Pitt Panthers vs. Syracuse Orange  The Pitt Panthers take on Syracuse Orange in 2024 NCAA Football action at Acrisure Stadium. READ MORE', 'time': '7:30 pm - 10:30 pm'}","Pitt Panthers vs. Syracuse Orange football game on October 24, 2024, at Acrisure Stadium."
"{'event_name': 'Disenchanted!', 'date': 'Oct 24, 2024', 'description': 'Arts + Culture, Entertainment Disenchanted!  Poisoned apples. Glass slippers. Who needs ’em?! Not Snow White and her posse of disenchanted princesses in the hilarious hit musical that’s anything but Grimm. READ MORE', 'time': '7:30 pm - 11:00 pm'}",A hilarious musical about disenchanted princesses.
"{'event_name': 'Nosferatu: A Symphony of Horror (1922) with live score by Tom Roberts', 'date': 'Oct 24, 2024', 'description': 'Arts + Culture, Entertainment, Film & Movies Nosferatu: A Symphony of Horror (1922) with live score by Tom Roberts  A genre-defining film for the ages, Nosferatu returns to the Harris Theater with Tom Roberts performing his own original score live. READ MORE', 'time': '8:00 pm - 10:00 pm'}",Nosferatu: A Symphony of Horror returns to the Harris Theater with Tom Roberts performing his original score live.
"{'event_name': 'Lit Friday: Mecca Jamilah Sullivan', 'date': 'Oct 25, 2024', 'description': 'Arts + Culture, Free event, Online & Virtual Events Lit Friday: Mecca Jamilah Sullivan  Mecca Jamilah Sullivan joins LIT Friday to discuss WE ARE A HAUNTING. READ MORE', 'time': '6:00 pm - 7:00 pm'}","A free online event discussing ""WE ARE A HAUNTING"" by Mecca Jamilah Sullivan on Lit Friday at 6:00 pm."
"{'event_name': 'Coffee + Connect', 'date': 'Oct 25, 2024', 'description': 'Community Coffee + Connect  Join us to enjoy some coffee and snacks and meet a representative from a local community organization to learn more about their services. READ MORE', 'time': '10:00 am - 11:00 am'}","Community Coffee + Connect event on October 25, 2024, featuring coffee and snacks, with a representative from a local community organization to discuss services."
"{'event_name': 'Moonlight Dance Cruise & Tour', 'date': 'Oct 25, 2024', 'description': 'Nightlife, Tours Moonlight Dance Cruise & Tour  It’s time to party out on the water every Friday night this summer! DJ ROK is back on the boat with a mix of the best of today’s urban hits, hip-hop, rap, R&B, and old school jams. And enjoy a free Midnight Buffet!   Must be 21 years of age. Valid photo ID required. READ MORE', 'time': '10:30 pm - 1:30 am'}","A Moonlight Dance Cruise & Tour event on Friday nights in October 2024, featuring DJ ROK playing urban hits and hip-hop, with a free midnight buffet."
"{'event_name': 'Peter Pan', 'date': 'Oct 25, 2024', 'description': 'Arts + Culture, Entertainment Peter Pan  Escape to Neverland for a daring adventure with Wendy, John, Michael, Tinkerbell and Peter in the ever-playful Peter Pan. READ MORE', 'time': '7:30 pm - 10:30 pm'}","Peter Pan event at 7:30 pm - 10:30 pm on October 25, 2024, featuring a play about Wendy, John, Michael, Tinkerbell, and Peter in Neverland."
"{'event_name': 'Night Market', 'date': 'Oct 25 - Oct 26, 2024', 'description': 'Outdoor, Shopping Night Market  Night Markets bring an awesome outdoor pop-up shopping market and festival to Downtown, featuring Pittsburgh’s most creative independent vendors. Clothing, furniture, candles, food, drinks, and more are exhibited in this weekly series. READ MORE', 'time': '4:00 pm - 9:00 pm'}","Outdoor, Shopping Night Market from Oct 25-26, featuring Pittsburgh's creative vendors."
"{'event_name': 'GALLERY CRAWL', 'date': 'Oct 25, 2024', 'description': 'Entertainment GALLERY CRAWL  Get ready for a night of non-stop laughter at Arcade Comedy Theater during the Pittsburgh Cultural Trust Gallery Crawl on Friday, July 26th! We’re serving up FREE improv comedy shows every half hour from 6-10 PM. Beat the heat with some cool laughs in our A/C, and if you love it (which you will!), snag a discount on our 7 & 9 PM shows to keep the fun going. See you there for a comedy-packed evening! READ MORE', 'time': '6:00 pm - 8:00 pm'}","Pittsburgh Cultural Trust Gallery Crawl featuring free improv comedy shows from 6-10 PM on October 25, 2024."
"{'event_name': 'Select Start', 'date': 'Oct 25, 2024', 'description': 'Entertainment Select Start  Cultural District creative, Mr. Arcade, was found dead in the theater last week. To help figure out what calamity occurred, spiritual medium improv team, Select Start, will be called in to contact his ghost live to solve this recent murder. However… Select Start does stand to gain a lot from the death of Mr. Arcade. Perhaps… foul play has occurred? Come on down to find out and help us to solve this Murder Mystery! It will be an improv show to die for. READ MORE', 'time': '9:00 pm - 11:00 pm'}",A spiritual medium improv team will investigate the death of a cultural district creative to solve a murder mystery.
"{'event_name': 'Halloween Boogie Bash', 'date': 'Oct 25, 2024', 'description': ""Holidays, Nightlife Halloween Boogie Bash  Show off your spooky dance moves at our Halloween Boogie Bash! Dance the night away to thrilling beats and show off your costume for a chance to win wicked prizes. Enjoy themed drinks and delectable hors d'oeuvres while you mix and mingle with your ghoulfriends. READ MORE"", 'time': '6:30 pm - 9:30 pm'}","Halloween Boogie Bash is an event where attendees can dance, dress up, and win prizes while enjoying themed drinks and food."
"{'event_name': 'Juvenile Arthritis Family Fun Day', 'date': 'Oct 26, 2024', 'description': 'Community, Family, Workshops & Classes Juvenile Arthritis Family Fun Day  READ MORE', 'time': '10:00 am - 12:00 pm'}","Juvenile Arthritis Family Fun Day is an event scheduled for October 26, 2024, from 10:00 am to 12:00 pm, focusing on community, family, workshops, and classes related to juvenile arthritis."
"{'event_name': 'SkyWatch', 'date': 'Oct 26, 2024', 'description': 'Nightlife, Workshops & Classes SkyWatch  Guests are invited to reconnect with the night sky through a featured planetarium performance and, weather-permitting, live views of night sky objects in stunning telescopic detail. READ MORE', 'time': '9:00 pm - 11:00 pm'}",SkyWatch event invites guests to view the night sky through a planetarium performance and live telescopic views.
"{'event_name': 'SkyWatch', 'date': 'Oct 26, 2024', 'description': 'Community, Nightlife SkyWatch  Stargaze a Saturday night away. Reconnect with the night sky through a featured planetarium performance and, weather-permitting, live views of night sky objects in telescopic detail. READ MORE', 'time': '9:00 pm - 11:00 pm'}","Community, Nightlife SkyWatch: Stargaze a Saturday night featuring planetarium performance and live sky views."
"{'event_name': '2024 ATA Fall Nationals Tournament', 'description': 'Convention, Sports + Recreation 2024 ATA Fall Nationals Tournament  Athletes will compete through the ATA Fall National 2024. READ MORE', 'date': 'Oct 25, 2024 - Oct 26, 2024'}","2024 ATA Fall Nationals Tournament: Oct 25-26, 2024"
"{'date': 'Oct 25, 2024 - Oct 26, 2024', 'description': 'Athletes will compete through the ATA Fall National 2024.', 'category': 'Convention,, Sports + Recreation', 'venue': 'David L. Lawrence Convention Center 1000 Fort Dusquene Boulevard Pittsburgh, PA 15222', 'more_details': '', 'event_name': '2024 ATA Fall Nationals Tournament'}","2024 ATA Fall Nationals Tournament takes place at the David L. Lawrence Convention Center in Pittsburgh, Pennsylvania from October 25 to 26."
