text,file_name,contextual_chunk
"{'date': 'Jan 21, 2024 | 5:30 pm - 9:00 pm', 'description': 'Looking for a fun and unique evening out in Pittsburgh? Come aboard our Captain’s Dinner Cruise & Tour for a fabulous dinner, music and dancing and fabulous views of the city skyline!', 'category': 'Entertainment,, Tours', 'venue': 'Gateway Clipper Fleet Docks 350 West Station Square Dr Pittsburgh, PA 15219', 'more_details': 'Bring a date, a group of friends, or the whole family and just have fun out on the water in Pittsburgh! CAPTAIN’S DINNER CRUISE & TOUR TRIP DETAILS:', 'event_name': ""Captain's Dinner Cruise & Tour""}",combined_events,"A Captain's Dinner Cruise & Tour is an entertainment event offering a fun dinner, music, dancing, and views of the Pittsburgh skyline."
"{'date': 'Feb 17, 2024 | 5:30 pm - 9:00 pm', 'description': 'Join the Gateway Clipper Captain’s Dinner Cruise & Tour in Pittsburgh, PA!', 'category': 'Entertainment,, Tours', 'venue': 'Gateway Clipper Fleet Docks 350 West Station Square Dr Pittsburgh, PA 15219', 'more_details': 'Looking for a fun and unique evening out in Pittsburgh? Come aboard our Captain’s Dinner Cruise & Tour for a fabulous dinner, music and dancing and fabulous views of the city skyline! Bring a date, a group of friends, or the whole family and just have fun out on the water in Pittsburgh! CAPTAIN’S DINNER CRUISE & TOUR TRIP DETAILS:', 'event_name': ""Captain's Dinner Cruise & Tour""}",combined_events,"Captain's Dinner Cruise & Tour on Gateway Clipper in Pittsburgh, PA."
"{'date': 'Mar 9, 2024 | 6:30 pm - 9:00 pm', 'description': 'Looking for a fun and unique evening out in Pittsburgh? Come aboard our Captain’s Dinner Cruise & Tour for a fabulous dinner, music and dancing and fabulous views of the city skyline! Bring a date, a group of friends, or the whole family and just have fun out on the water in Pittsburgh!', 'category': 'Entertainment,, Tours', 'venue': 'Gateway Clipper Fleet Docks 350 West Station Square Dr Pittsburgh, PA 15219', 'more_details': 'CAPTAIN’S DINNER CRUISE & TOUR TRIP DETAILS:', 'event_name': ""Captain's Dinner Cruise & Tour""}",combined_events,"A Captain's Dinner Cruise & Tour is an entertainment event offering a fun dinner, music, dancing, and views of the Pittsburgh skyline."
"{'date': 'Apr 6, 2024 - May 11, 2024 | 5:30 pm - 9:00 pm', 'description': 'Join the Gateway Clipper Captain’s Dinner Cruise & Tour in Pittsburgh, PA!', 'category': 'Tours', 'venue': 'Gateway Clipper Fleet Docks 350 West Station Square Dr Pittsburgh, PA 15219', 'more_details': 'Looking for a fun and unique evening out in Pittsburgh? Come aboard our Captain’s Dinner Cruise & Tour for a fabulous dinner, music and dancing and fabulous views of the city skyline! Bring a date, a group of friends, or the whole family and just have fun out on the water in Pittsburgh! CAPTAIN’S DINNER CRUISE & TOUR TRIP DETAILS:', 'event_name': ""Captain's Dinner Cruise & Tour""}",combined_events,"A Captain's Dinner Cruise & Tour on the Gateway Clipper in Pittsburgh, PA, from April 6 to May 11, 2024."
"{'date': 'May 25, 2024 - Jun 29, 2024 | 6:30 pm - 9:00 pm', 'description': 'Join the Gateway Clipper Captain’s Dinner Cruise & Tour in Pittsburgh, PA!', 'category': 'Tours', 'venue': 'Gateway Clipper Fleet Docks 350 West Station Square Dr Pittsburgh, PA 15219', 'more_details': 'Looking for a fun and unique evening out in Pittsburgh? Come aboard our Captain’s Dinner Cruise & Tour for a fabulous dinner, music and dancing and fabulous views of the city skyline! Bring a date, a group of friends, or the whole family and just have fun out on the water in Pittsburgh! CAPTAIN’S DINNER CRUISE & TOUR TRIP DETAILS:', 'event_name': ""Captain's Dinner Cruise & Tour""}",combined_events,"A Captain's Dinner Cruise & Tour on the Gateway Clipper in Pittsburgh, PA, from May 25 to June 29, 2024."
"{'date': 'Oct 5, 2024 - Nov 16, 2024 | 5:30 pm - 9:00 pm', 'description': 'Looking for a fun and unique evening out in Pittsburgh? Come aboard our Captain’s Dinner Cruise & Tour for a fabulous dinner, music and dancing and fabulous views of the city skyline! Bring a date, a group of friends, or the whole family and just have fun out on the water in Pittsburgh!', 'category': 'Tours', 'venue': 'Gateway Clipper Fleet Docks 350 West Station Square Dr Pittsburgh, PA 15219', 'more_details': 'Looking for a fun and unique evening out in Pittsburgh? Come aboard our Captain’s Dinner Cruise & Tour for a fabulous dinner, music and dancing and fabulous views of the city skyline! Bring a date, a group of friends, or the whole family and just have fun out on the water in Pittsburgh! CAPTAIN’S DINNER CRUISE & TOUR TRIP DETAILS:', 'event_name': ""Captain's Dinner Cruise & Tour""}",combined_events,"Captain's Dinner Cruise & Tour: A fun and unique evening out in Pittsburgh, featuring a dinner, music, dancing, and views of the city skyline."
"{'date': 'Jan 20, 2024 | 7:00 pm - 8:30 pm', 'description': 'Ready to be a comedy influencer?', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Doomscroll is an interactive comedy show like you’ve never seen before! If you ever miss using your phone during a show (or wonder if your phone misses you) this is one you’ll love, because @Doomscrollpgh’s DMs are open and we invite you to influence the set from the audience by sharing content! Featuring a mix of improv, stand up, sketch, and parodies along with Tiktoks, Reels, memes, & internet mishaps all shared live on stage! Like, Follow, and Subscribe, because we can’t have the show without you!', 'event_name': 'Doom Scroll'}",combined_events,"Interactive comedy show featuring improv, stand-up, sketch, TikTok, Reels, memes, and internet mishaps."
"{'date': 'Apr 20, 2024 | 8:00 pm - 9:30 pm', 'description': 'Join us this high holiday of 4/20 for a night of lit laughs and uproarious fun.', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'Doomscroll Comedy Show features stand up, & improv where YOU influence the show by sharing your favorite reels, & tiktoks @doomscrollpgh. It’s like your own personal meme come true. This 4/20 elevate your evening with a comedy experience that’s higher than ever before. Featuring hilarious stand up from Leon Li, character work from John Watt, and Sara Kantner, and the Doomers: Ashley, Bradley, Danielle, Justin, Nora, Kate, Molly, Mary. You’re invited to toke up the laughs with us! So grab your buds, grab your tickets, and join us for an evening of comedy guaranteed to leave you in a haze of laughter!', 'event_name': 'Doom Scroll'}",combined_events,"Doom Scroll 4/20 Comedy Show at Arcade Comedy Theater, featuring stand-up, improv, and meme-inspired comedy."
"{'date': 'Jun 15, 2024 | 8:00 pm - 9:30 pm', 'description': 'Doomscroll Comedy Show features stand up, & improv where YOU influence the show by sharing your favorite reels, & tiktoks', 'category': 'Entertainment,, Nightlife', 'venue': 'Arcade Comedy Theater: Downstairs 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': '@doomscrollpgh. Itâ€™s like your own personal meme come true.', 'event_name': 'Doom Scroll'}",combined_events,"Doomscroll Comedy Show features stand-up and improv, allowing attendees to influence the event through sharing their favorite reels and TikToks."
"{'date': 'Aug 17, 2024 | 8:00 pm - 10:00 pm', 'description': 'Featuring a mix of improv, stand up, characters, and parodies along with Tiktoks, Reels, memes, & internet mishaps all shared live on stage!', 'category': 'Entertainment', 'venue': 'Arcade Comedy Theater 943 Liberty Ave Pittsburgh, PA 15222', 'more_details': 'This is fine. Doomscroll is an interactive comedy show like you’ve never seen before! If you ever miss using your phone during a show (or wonder if your phone misses you) this is one you’ll love, because @Doomscrollpgh’s DMs are open and we invite you to influence the show from the audience. Featuring a mix of improv, stand up, characters, and parodies along with Tiktoks, Reels, memes, & internet mishaps all shared live on stage!', 'event_name': 'Doom Scroll'}",combined_events,"Doom Scroll is an interactive comedy show featuring improv, stand-up, characters, TikTok, Reels, memes, and internet mishaps, live on stage at Arcade Comedy Theater."
